plot,Time,Temperature
A01,11/10/2021 16:31,22
A01,11/10/2021 20:31,14.5
A01,12/10/2021 0:31,10.5
A01,12/10/2021 4:31,9
A01,12/10/2021 8:31,8
A01,12/10/2021 12:31,19
A01,12/10/2021 16:31,23
A01,12/10/2021 20:31,15
A01,13/10/2021 0:31,11.5
A01,13/10/2021 4:31,9.5
A01,13/10/2021 8:31,8.5
A01,13/10/2021 12:31,19
A01,13/10/2021 16:31,22.5
A01,13/10/2021 20:31,15
A01,14/10/2021 0:31,12
A01,14/10/2021 4:31,10
A01,14/10/2021 8:31,9
A01,14/10/2021 12:31,19.5
A01,14/10/2021 16:31,22.5
A01,14/10/2021 20:31,15.5
A01,15/10/2021 0:31,12
A01,15/10/2021 4:31,10
A01,15/10/2021 8:31,9
A01,15/10/2021 12:31,19
A01,15/10/2021 16:31,23.5
A01,15/10/2021 20:31,15.5
A01,16/10/2021 0:31,12
A01,16/10/2021 4:31,11
A01,16/10/2021 8:31,10.5
A01,16/10/2021 12:31,11.5
A01,16/10/2021 16:31,12.5
A01,16/10/2021 20:31,9
A01,17/10/2021 0:31,9
A01,17/10/2021 4:31,8
A01,17/10/2021 8:31,7
A01,17/10/2021 12:31,13.5
A01,17/10/2021 16:31,17
A01,17/10/2021 20:31,11
A01,18/10/2021 0:31,9
A01,18/10/2021 4:31,9
A01,18/10/2021 8:31,10
A01,18/10/2021 12:31,14.5
A01,18/10/2021 16:31,15.5
A01,18/10/2021 20:31,12
A01,19/10/2021 0:31,10.5
A01,19/10/2021 4:31,9.5
A01,19/10/2021 8:31,9.5
A01,19/10/2021 12:31,12
A01,19/10/2021 16:31,16
A01,19/10/2021 20:31,12.5
A01,20/10/2021 0:31,11
A01,20/10/2021 4:31,10
A01,20/10/2021 8:31,8.5
A01,20/10/2021 12:31,9.5
A01,20/10/2021 16:31,11
A01,20/10/2021 20:31,8
A01,21/10/2021 0:31,7
A01,21/10/2021 4:31,5.5
A01,21/10/2021 8:31,4.5
A01,21/10/2021 12:31,11.5
A01,21/10/2021 16:31,16
A01,21/10/2021 20:31,10
A01,22/10/2021 0:31,6.5
A01,22/10/2021 4:31,5
A01,22/10/2021 8:31,4.5
A01,22/10/2021 12:31,8
A01,22/10/2021 16:31,12.5
A01,22/10/2021 20:31,9
A01,23/10/2021 0:31,6
A01,23/10/2021 4:31,4
A01,23/10/2021 8:31,3.5
A01,23/10/2021 12:31,14.5
A01,23/10/2021 16:31,18
A01,23/10/2021 20:31,10.5
A01,24/10/2021 0:31,7
A01,24/10/2021 4:31,6
A01,24/10/2021 8:31,5
A01,24/10/2021 12:31,15.5
A01,24/10/2021 16:31,18.5
A01,24/10/2021 20:31,12.5
A01,25/10/2021 0:31,9
A01,25/10/2021 4:31,6.5
A01,25/10/2021 8:31,5
A01,25/10/2021 12:31,13
A01,25/10/2021 16:31,14
A01,25/10/2021 20:31,9.5
A01,26/10/2021 0:31,6.5
A01,26/10/2021 4:31,5
A01,26/10/2021 8:31,4
A01,26/10/2021 12:31,14
A01,26/10/2021 16:31,17
A01,26/10/2021 20:31,11
A01,27/10/2021 0:31,8
A01,27/10/2021 4:31,6.5
A01,27/10/2021 8:31,5.5
A01,27/10/2021 12:31,16
A01,27/10/2021 16:31,19.5
A01,27/10/2021 20:31,12.5
A01,28/10/2021 0:31,9
A01,28/10/2021 4:31,7
A01,28/10/2021 8:31,5.5
A01,28/10/2021 12:31,11
A01,28/10/2021 16:31,13
A01,28/10/2021 20:31,8.5
A01,29/10/2021 0:31,5.5
A01,29/10/2021 4:31,4.5
A01,29/10/2021 8:31,4.5
A01,29/10/2021 12:31,6
A01,29/10/2021 16:31,6
A01,29/10/2021 20:31,4.5
A01,30/10/2021 0:31,3.5
A01,30/10/2021 4:31,5.5
A01,30/10/2021 8:31,5.5
A01,30/10/2021 12:31,6.5
A01,30/10/2021 16:31,8
A01,30/10/2021 20:31,6
A01,31/10/2021 0:31,5
A01,31/10/2021 3:31,5.5
A01,31/10/2021 7:31,6
A01,31/10/2021 11:31,7
